n,Sort,CPU Seconds
8,IR,0.0
8,MR,1.9073486328125E-6
8,IA,-4.76837158203125E-7
8,MA,9.5367431640625E-7
8,ID,-4.76837158203125E-7
8,MD,9.5367431640625E-7
16,IR,0.0
16,MR,3.814697265625E-6
16,IA,9.5367431640625E-7
16,MA,3.814697265625E-6
16,ID,9.536743164062534E-7
16,MD,2.8610229492187466E-6
32,IR,3.814697265625E-6
32,MR,7.62939453125E-6
32,IA,1.9073486328125E-6
32,MA,3.814697265625E-6
32,ID,3.814697265625E-6
32,MD,7.62939453125E-6
64,IR,7.62939453125E-6
64,MR,1.52587890625E-5
64,IA,1.1444091796875E-5
64,MA,1.1444091796875027E-5
64,ID,1.1444091796875E-5
64,MD,1.1444091796874973E-5
128,IR,6.103515625E-5
128,MR,3.0517578125E-5
128,IA,3.814697265625E-5
128,MA,3.0517578125E-5
128,ID,3.814697265625E-5
128,MD,3.0517578125E-5
256,IR,1.52587890625E-4
256,MR,9.1552734375E-5
256,IA,1.8310546875000022E-4
256,MA,6.103515625E-5
256,ID,1.3732910156249978E-4
256,MD,6.103515625E-5
512,IR,7.32421875E-4
512,MR,1.52587890625E-4
512,IA,8.544921875E-4
512,MA,1.220703125E-4
512,ID,6.103515625E-4
512,MD,9.1552734375E-5
1024,IR,0.00299072265625
1024,MR,3.662109375E-4
1024,IA,0.00360107421875
1024,MA,2.44140625E-4
1024,ID,0.0023193359375
1024,MD,2.44140625E-4
2048,IR,0.015136718750000007
2048,MR,8.544921874999931E-4
2048,IA,0.017578125
2048,MA,4.8828125E-4
2048,ID,0.010498046875
2048,MD,4.8828125E-4
